Attr,id,Attr_key,Attr_value
authors,1,name,Virginia Scarlett
authors,1,id,2933718
authors,2,name,Ana Van Gulick
authors,2,id,650798
authors,3,name,William Shakespeare
authors,3,first_name,William
authors,3,last_name,Shakespeare
authors,3,email,thebard@hotmail.com
title,NA,title,My cool dataset
description,NA,description,"While counting numbers is quite common, little is known about the true meaning of numbers. In this study, a series of random numbers was generated. Surprisingly, we found no evidence that numbers alone are inherently meaningful. This study suggests that numbers are not sufficient to explain their own meaning."
keywords,1,keywords,Single neuron reconstruction
categories,1,categories,25718
categories,1,categories_by_source_id,310112
categories,2,categories,26104
categories,2,categories_by_source_id,320999
defined_type,NA,defined_type,dataset
